Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
glass6,Bagging,60,0.9485049833887043,0.017767098946340102,0.8023310023310023,0.08101901523602409,0.8731370118408815,0.055110470502272545,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,70,0.9285338015803337,0.017529386348345343,0.6053280053280053,0.12482998851268262,0.7198041735950581,0.10239436435449067,0.9970149253731343,0.0059701492537313616
segment0,Bagging,70,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9995661605206074,0.000867678958785234
vehicle2,Bagging,70,0.9621858684302123,0.007961244749068936,0.9261658282909286,0.016148563225764394,0.9486575269216819,0.012945727985261316,0.9988235294117647,0.00235294117647058
yeast3,Bagging,70,0.9474497224497226,0.014819345261456989,0.7387549780560054,0.07832725120825133,0.8150959804213492,0.05459235469721932,0.9952861952861953,0.0034336831741365397
glass6,Bagging,70,0.9438538205980066,0.018863879822695523,0.7811188811188811,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,80,0.9255487269534679,0.016513177096412635,0.5810855810855811,0.12230826163185693,0.6997186198816124,0.10440914266556438,0.9970149253731343,0.0059701492537313616
segment0,Bagging,80,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9995661605206074,0.000867678958785234
vehicle2,Bagging,80,0.9610093978419771,0.0095220778462526,0.9238523066828673,0.01989932917569783,0.9477829296234885,0.01765995937664601,0.9988235294117647,0.00235294117647058
yeast3,Bagging,80,0.9474474474474475,0.013032471211955212,0.7421731216503186,0.06827146296996545,0.8221344246341016,0.05013338436824875,0.9952861952861953,0.0034336831741365397
glass6,Bagging,80,0.9438538205980066,0.018863879822695523,0.7811188811188811,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,90,0.9255487269534679,0.016513177096412635,0.5950715950715951,0.12142929171715952,0.7185282302730336,0.10205427268059492,0.9970149253731343,0.0059701492537313616
segment0,Bagging,90,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9995661605206074,0.000867678958785234
vehicle2,Bagging,90,0.9598259658893143,0.00938175002633752,0.9213967162962424,0.01951873831536384,0.9454249438635877,0.01650831736765377,0.9988235294117647,0.00235294117647058
yeast3,Bagging,90,0.9474474474474475,0.01451404381675639,0.7404290785615064,0.07718958621962321,0.8185060044524217,0.05344355644889605,0.9959595959595958,0.0032989760845564538
glass6,Bagging,90,0.9438538205980066,0.018863879822695523,0.7811188811188811,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,100,0.9255487269534679,0.016513177096412635,0.5950715950715951,0.12142929171715952,0.7185282302730336,0.10205427268059492,0.9970149253731343,0.0059701492537313616
segment0,Bagging,100,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,1.0,0.0
vehicle2,Bagging,100,0.9598259658893143,0.00938175002633752,0.9213967162962424,0.01951873831536384,0.9454249438635877,0.01650831736765377,0.9988235294117647,0.00235294117647058
yeast3,Bagging,100,0.9474474474474475,0.015422891296086903,0.7405060557025689,0.08752769794433342,0.8208831353796585,0.06569088068502284,0.9959595959595958,0.0032989760845564538
glass6,Bagging,100,0.9438538205980066,0.018863879822695523,0.7811188811188811,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9906976744186047,0.011392975547828756
ecoli3,AdaBoost,10,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,10,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,10,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,10,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,10,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9718715393133998,0.017643806216305145
ecoli3,AdaBoost,20,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,20,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,20,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,20,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,20,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,30,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,30,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,30,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,30,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,30,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
